,data,label
5241,return td1 / td2,0.0
5242,for chunk in resreq.iter_content(chunk_size=65536):,0.0
5243,"t = astime.Time(jd, scale='utc', format='jd')",0.0
5244,raise Exception('Error on reading file {0}.'.format(img_file)) from exc,0.0
5245,"displayTypeComment = ""CSV Representation of Table Contents""",0.0
5246,if self._purged > 0.25*self.max_items:,0.0
5247,Mole fractions [-],1.0
5248,"tot_style_factor_exposure = style_factor_exposure.sum(axis='columns',",0.0
5249,self.state = data['certificate']['state'],0.0
5250,elif desired == 'ITS-68':,0.0
5251,in_ra2 = ra2 % 360.0,0.0
5252,"results.append(aggregator.run(start_date, end_date, update_bookmark))",0.0
5253,"shared = lxs[samp1, lxs[samp2] > 0].sum()",0.0
5254,"exc_type, exc_value, ext_stack = exc_info",0.0
5255,return url_quote(url) + '/' + self.url_ext,0.0
5256,"unadjusted_returns=None, estimate_intraday='infer',",0.0
5257,LOGINFO('all dataset products collected'),0.0
5258,rule.update(kwargs),0.0
5259,"decrypted_content = _decrypt_encrypted_data(encryption_algorithm_info, encrypted_content, password)",0.0
5260,return dict_extra_args,0.0
5261,"return start_date.strftime(""%Y-%m-%d"")",0.0
5262,"next, find the indices of the '# COLUMNS' line and '# LIGHTCURVE' line",1.0
5263,loadbalancer_entities = {,0.0
5264,"if  hasattr(obj, 'isatty') and obj.isatty():",0.0
5265,path : str,1.0
5266,resets:          The reset input to the TM. Element 0 contains the reset from,1.0
5267,rules[lhs] = [alt.strip().split() for alt in rhs.split('|')],0.0
5268,del rec[tag],0.0
5269,objectinfo['pmra'] = ticinfo['data'][0]['pmRA'],0.0
5270,else:,0.0
5271,'assum',1.0
5272,this edge case.,1.0
5273,short_exposures = [],0.0
5274,if filename:,0.0
5275,Jumps short if greater or equal.,1.0
5276,def bare(self):,0.0
5277,"NOTE: this method is optional, as it was not part of the originally",1.0
5278,mod = importlib.import_module(,0.0
5279,"This returns 15 minute delayed and 30 day average consolidated volume percentage of a stock, by market.",1.0
5280,x = numpy.exp(lx - base),0.0
5281,tokens = ([t for t in self.tokens],0.0
5282,outFile.close(),0.0
5283,blending of variability and potential confusion of neighbor variability,1.0
5284,}),0.0
5285,thread.start(),0.0
5286,This is the basic sampling function for all hit-and-run samplers.,1.0
5287,self.manager.stream.send(m),0.0
5288,sensor = network.regions['sensor'].getSelf(),0.0
5289,object matches the search criteria and `False` otherwise.,1.0
5290,Unsupported or not allowed,1.0
5291,Install all packages listed to the target directory.,1.0
5292,"dataType='UInt32',",0.0
5293,"html+=""<div class='%s_datecode'>%s</div></a>""%(classPrefix,title)",0.0
5294,"2) If a border is supplied, relocate all of the grid-stack's regular, sub and pix grid pixels beyond the border.",1.0
5295,"def _getPropertyValue(schema, propertyName, options):",0.0
5296,if len(key) != 16 and len(key) != 24:,0.0
5297,pixel_centres : ndarray,1.0
5298,errors.is_positive_integer(NFFT),0.0
5299,-------,1.0
5300,. split (boolean): Whether to split path to its components,1.0
5301,-------,1.0
5302,"custom_bandpasses=None,",0.0
5303,"Flexbox utilites, eg:  justify-content-center",1.0
5304,"force_querystring=False,",0.0
5305,"log.debug(""sending command: %s"", cmdstr)",0.0
5306,"where W = U₁S₁⁻¹U₁ᵀ, E₀ = G, and E₁ = I. We will now just state the results for",1.0
5307,which in turn are set when adding nodes to an axis with the,1.0
5308,for container_plan in packing_plan.container_plans:,0.0
5309,retval:       HyperSearch jobID; raises exception if not found.,1.0
5310,Returns,1.0
5311,s = hashlib.sha256(hashlib.sha512(a).digest()).digest(),0.0
5312,elif output.get_shape().ndims == 4:,0.0
5313,gaia_pmdecl_err = gaia_objlist['pmdec_error'],0.0
5314,try:,0.0
5315,"If we're reading a value of predetermined size (anything but a string),",1.0
5316,Synchronize values of trainable variables.,1.0
5317,The line with single-line comments removed.,1.0
5318,dataset : str,1.0
5319,"for (count, launcher) in enumerate(launchers):",0.0
5320,Y[k-P] = SUM,0.0
5321,"ref_1, ref_2 = ref_2, []",0.0
5322,header = request.headers.get('Range'),0.0
5323,to bind,1.0
5324,"for j in range(0, nk+1):",0.0
5325,response = PolyaxonClient().experiment.delete_experiment(,0.0
5326,self.write_success_response(ret),0.0
5327,def guess_invert(st):,0.0
5328,encoded_credential = _helpers._from_bytes(base64.b64encode(,0.0
5329,"def next(self, eof_token=False):",0.0
5330,"print(""creating server.."")",0.0
5331,"raw = bytes(message, ""utf8"")",0.0
5332,return 0,0.0
5333,"'(probably an ADQL error): %s, '",0.0
5334,speciesdelimitation = 1 0 5,1.0
5335,"args = [AutoCompleter.SUGADD_COMMAND, self.key, sug.string, sug.score]",0.0
5336,----------,1.0
5337,----------,1.0
5338,"error_message=""Invalid format provided for ip_address"")",0.0
5339,thisbin_min_iqr_stdev = magcol_min_iqr_stdev[magi],0.0
5340,- 2: a set of unicode strings that are OIDs of purposes to reject the,1.0
5341,else:,0.0
5342,"For hamming codes, e=1, so d=3.",1.0
5343,"if not fname[:8]+"".abf"" in self.files1:",0.0
5344,t = 'o',0.0
5345,-------,1.0
5346,"Renders the given edge (n1, n2) to the plot.",1.0
5347,"allele2 = """".join(allele2)",0.0
5348,Compares the actual input with the predicted input and returns results,1.0
5349,for ffile in arrdict[ftype]:,0.0
5350,count = 0,0.0
5351,continue,0.0
5352,self._socket.setblocking(False),0.0
5353,returns the first 10 segments for a specific list.,1.0
5354,get the finite values,1.0
5355,"def consume(self, consume_function):",0.0
5356,- positive correlation => delete,1.0
5357,"Simulate mouse left button drag from point x1, y1 drop to point x2, y2.",1.0
5358,if key_type == 'public':,0.0
5359,The cost of an alignment gap extension (0.4 by default),1.0
5360,----------,1.0
5361,":return: True if the loop stopped, False if still stopping.",1.0
5362,"mask=p,",0.0
5363,Optional(point + Optional(Word(nums))) +,0.0
5364,"raise ValueError(""Y must be specified to find the optimal threshold."")",0.0
5365,augments what is in the certificate itself. Any OID that is in the set of,1.0
5366,return self._compound_masses[,0.0
5367,result['_timestampRecordIdx'] = self._computeTimestampRecordIdx(,0.0
5368,try:,0.0
5369,"print(('Skipping instance %s because its release ""%s"" '",0.0
5370,except HTTPError as e:,0.0
5371,gaia_submit_timeout = 7.0,1.0
5372,Returns:,1.0
5373,"def create_temp_directory(self, **mkdtemp_kwargs) -> str:",0.0
5374,@param[in] payload_list (array_like): Data point payloads that follows data points inserted to the tree.,1.0
5375,"mirror_local_mode=mirror_local_mode,",0.0
5376,S2 = ((((0.25*E)*T2 + D/3.)*T2 + 0.5*C)*T2 + B)*T2,0.0
5377,curves specified in `basedir` or `use_list_of_filenames`.,1.0
5378,elif rep[n + 1] == '`':,0.0
5379,else:,0.0
5380,return r.json(),0.0
5381,"return Leaf(n.type, n.value, prefix=n.prefix if prefix is None else prefix)",0.0
5382,):,0.0
5383,build stats from dictionaries,1.0
5384,----------,1.0
5385,weights = [W],0.0
5386,:type remote_url: str,1.0
5387,"allobjects[magcol]['binned_sdssr_median'],",0.0
5388,def I(examples):,0.0
5389,return,0.0
5390,topology.state = topology_pb2.TopologyState.Value(initial_state),0.0
5391,else:,0.0
5392,":math:`T_0, T_1, \dots ,T_M`.",1.0
5393,DAC info as a list of dicts,1.0
5394,r'''Method to set tabular data to be used for interpolation.,1.0
5395,"elif (isinstance(magcol_min_iqr_stdev, np.ndarray) or",0.0
5396,"LOGGER.info(""inside muscle_chunker"")",0.0
5397,Parameters,1.0
5398,"self.__client.move_index(self.__tmp_index.index_name,",0.0
5399,else:,0.0
5400,break,0.0
5401,logging.debug('Running notebook in debug mode.'),0.0
5402,"self.CRC_HVAP_TB_Tb = float(CRCHvap_data.at[self.CASRN, 'Tb'])",0.0
5403,:return:,1.0
5404,"y_train = load_mnist_labels(path, 'train-labels-idx1-ubyte.gz')",0.0
5405,"return {'bestperiod':npnan,",0.0
5406,import google.appengine,0.0
5407,75...,1.0
5408,indexable (Iterable or Mapping): indexable to sort by,1.0
5409,if not data_center:,0.0
5410,custom_getter: The `custom_getter_` object to use for `tf.make_template` when creating TensorFlow functions.,1.0
5411,"visualizer.show(figure, display = False);",0.0
5412,width = parse_int(argd['--width'] or DEFAULT_WIDTH) or 1,0.0
5413,max_epoch = 14,0.0
5414,"if isinstance(right, BitVecConstant):",0.0
5415,pkg_home : PKG_HOME error,1.0
5416,permuted_graph = permute_func(graph),0.0
5417,Other Parameters,1.0
5418,Ten checks works fast but leads to imprecision in sharp corners,1.0
5419,context = {,0.0
5420,"name = ""Unnamed%s"" % (ia.caller_name(),)",0.0
5421,-------,1.0
5422,"raise ValueError(""Invalid HERON_OPTIONS part %r"" % option_line)",0.0
5423,(self.my_pplan_helper.my_component_name != new_helper.my_component_name or,0.0
5424,:raise ConnectionError: If socket cannot establish a connection,1.0
5425,return _dec_to_dec_str(dec),0.0
5426,-------,1.0
5427,**中文文档**,1.0
5428,else:,0.0
5429,calculated_checksum = (sum2 << 8) | sum1,0.0
5430,task_metadata: tasks-specific metadata.,1.0
5431,for u in UNITS_FLUX[1]:,0.0
5432,YS = YpS - Y*S,0.0
5433,nonDefaultArgCount = len(argspec.args) - defaultCount,0.0
5434,:type store_id: :py:class:`str`,1.0
5435,"modified = payload[0][""version""]",0.0
5436,p[1].extend(p[3]),0.0
5437,dz4 = dz1,0.0
5438,"url : `str`, optional",1.0
5439,else:,0.0
5440,self.pass_priors(results),0.0
5441,"def SendMessage(handle: int, msg: int, wParam: int, lParam: int) -> int:",0.0
5442,self.num_departures += 1,0.0
5443,:param s: ls date,1.0
5444,"min_price=None, max_price=None, min_buy=None, max_buy=None,",0.0
5445,import alpha,1.0
5446,}),0.0
5447,:returns: A JSON object containing details of the resource returned by Tower backend.,1.0
5448,if verbose:,0.0
5449,"if '""{}""'.format(constants.VM_MACHINE_NAME) in line:",0.0
5450,from .bibrecord import create_record,0.0
5451,else:,0.0
5452,"'marker': 'o',",0.0
5453,else:,0.0
5454,magbins : np.array,1.0
5455,"""after loading."" % attrName",1.0
5456,Copy before substitution starts,1.0
5457,"'config_item_id', 'test_dataset_id', 'truth_dataset_id', 'silent',",0.0
5458,args.vararg.annotation = next_value(0),0.0
5459,except Exception as e:,0.0
5460,for reaction in self.reactions:,0.0
5461,else:,0.0
5462,The number of instances to launch in this request.,1.0
5463,infd.seek(0),0.0
5464,"_success_date(),",0.0
5465,row_index col_index and channel_index : int,1.0
5466,"+ ('old_%i' % os.getpid(), ))",0.0
5467,def m_e(**kwargs):,0.0
5468,buf (str): Buffered gdb response from the past. This is incomplete and needs to be prepended to,1.0
5469,"lexicographically greatest to least, and True in all other cases.",1.0
5470,Each item in the list we are filtering contains:,1.0
5471,except TypeError:,0.0
5472,tf_name = w_name,0.0
5473,----------,1.0
5474,"signal.signal(signal.SIGINT, signal_handler)",0.0
5475,if user:,0.0
5476,key = text[i + 1:rindex],0.0
5477,else:,0.0
5478,course_mode = validated_data.get('course_mode'),0.0
5479,-------,1.0
5480,"pull_requests = self.filter_by_labels(pull_requests, ""pull requests"")",0.0
5481,return (,0.0
5482,"dW_orth = np.sqrt(dt)*np.random.normal(size=(N-1,M))",0.0
5483,This function wraps NetMHCpan28 and NetMHCpan3 to automatically detect which class,1.0
5484,"author = models.ForeignKey(Author, on_delete=models.CASCADE)",1.0
5485,"response = WhenIWork_DAO().deleteURL(url, headers)",0.0
5486,Examples,1.0
5487,"if b""\n"" not in raw_output:",0.0
5488,This applies TFA in parallel to all LCs in a directory.,1.0
5489,return_list.append(f),0.0
5490,try:,0.0
5491,"Events, that are waiting for the message.",1.0
5492,Pass in a filepointer `fp` that has been opened for writing in,1.0
5493,tag: str,1.0
5494,"mu = self.interpolate(T, method)",0.0
5495,":return: Array of closeness scores, one per item in expValues (or",1.0
5496,--------,1.0
5497,boundaries = {},0.0
5498,The size of the filter for calculating the local standard deviation;,1.0
5499,"request,",0.0
5500,"delta_params : {numpy.ndarray, 'calc', or 'perfect'}, optional",1.0
5501,continue,0.0
5502,timeout=None,0.0
5503,return mask,0.0
5504,pval : int or float,1.0
5505,The version module contains a variable called __version__,1.0
5506,using scipy.signal?) to remove all high frequency noise from the ACF.,1.0
5507,tools = {},0.0
5508,-------,1.0
5509,Create a processed topology.,1.0
5510,orphans=[],0.0
5511,value(int|str|list),1.0
5512,result.append(str(v)),0.0
5513,return BADGE_COLORS[i],0.0
5514,"heartbeat_period=self.heartbeat_period,",0.0
5515,file first. this is where we store stuff before we write it,1.0
5516,use pyramid_tm to hook the transaction lifecycle to the request,1.0
5517,return retstr,0.0
5518,"label='magcol: %s' % magcol,",0.0
5519,"def rand_brightness(imagez, scale=1.0, randfun=rand.normal(0., .1), clamp=(0., 1.)):",0.0
5520,"print(""WRITING HEADER TO:"")",0.0
5521,x for x in dependency_specs,0.0
5522,"with open(os.path.join(directory, f'{self.module_name}.belns'), 'w') as file:",0.0
5523,@g_retrySQL,0.0
5524,Adds tab information to context.,1.0
5525,:rtype: string,1.0
5526,topology_file = cl_args['topology-file-name'],0.0
5527,"self.builder.set_lics_list_ver(self.doc, six.text_type(o))",0.0
5528,"raise TypeError(""colorful only supports .txt and .json files for colors"")",0.0
5529,cf_hash_length = None,0.0
5530,elif tx == 'Boolean':,0.0
5531,poll_code = self.resources[job_id]['proc'].poll(),0.0
5532,"base, limit, _ = functions['get_descriptor'](seg)",0.0
5533,and not doignoreranges,0.0
5534,if build_targets is not None:,0.0
5535,""".sh"": ""source""",0.0
5536,if you use this for negative x.,1.0
5537,this is when the fit mag is maximum (i.e. the faintest),1.0
5538,catdef.append(,0.0
5539,Get single unit of collection,1.0
5540,if not os.path.isdir(view_config_dir):,0.0
5541,"cpu.CF = Operators.EXTRACT(value, pos, 1) == 1",0.0
5542,initialize the model and calculate the initial model light-curve,1.0
5543,manually.,1.0
5544,">>> dc.eye_plot(x,20,60)",1.0
5545,"axes = canvas.cartesian(grid=(dims[0], dims[1], panel), gutter=25)",0.0
5546,self.savedsearch = SavedSearch(self),0.0
5547,"depth_first=False,",0.0
5548,"build_h5_array(data, samples, nloci)",0.0
5549,`stretch` sets the stretch function for mapping FITS pixel values to,1.0
5550,cname = cnt.container_name,0.0
5551,"size : int, optional",1.0
5552,"array_2d = np.ones((5,5))",1.0
5553,check if file exists,1.0
5554,update states of oscillators,1.0
5555,"buffer_len,",0.0
5556,-------,1.0
5557,all_sidereal_flags = np.concatenate(,0.0
5558,else:,0.0
5559,y_end   = yslice[1],0.0
5560,This is either a checkplotdict produced by `checkplot_pickle` above or a,1.0
5561,TensorLayer layer instance.,1.0
5562,return {,0.0
5563,"new.date = new.date.replace(month=12, year=(new.date.year - 1))",0.0
5564,:Returntype: `unicode`,1.0
5565,if (counter % 100 == 0):,0.0
5566,"def once(self, event, listener):",0.0
5567,Print a message to the console.,1.0
5568,addr += self.page_size,0.0
5569,if old_md5_hash == current_md5_hash:,0.0
5570,"def open(self, member, pwd=None):",0.0
5571,Returns the localized timezone string from tzres.dll if the string,1.0
5572,VectorFileWriter(,0.0
5573,"for idx, dt in enumerate(df.dtypes):",0.0
5574,"def getComponentMetrics(self,",0.0
5575,"def define_options(address, port, tracker_url, base_url):",0.0
5576,scale = float(matches.groups()[2]),0.0
5577,Kwargs:,1.0
5578,"commas. For example. 'A1 On, A Dim, A Dim, A Dim, A Lamps Off'. The",1.0
5579,exc.msg += ' at MIB %s' % mibname,0.0
5580,"Instantiate the Hypersearch object, which will handle the logic of",1.0
5581,"convert_noise_map_from_weight_map, convert_noise_map_from_inverse_noise_map,",0.0
5582,TODO : speed up with affine transform,1.0
5583,"mags,",0.0
5584,"model_filename = join(export_folder, ""model.bin"")",0.0
5585,"pylint: disable=locally-disabled, unused-argument",1.0
5586,see http://www.mail-archive.com/matplotlib-users@lists.sourceforge.net/msg07156.html,1.0
5587,for index in desc[None]:,0.0
5588,Ys[i]=self.dataY[T1:T2],0.0
5589,"response = PolyaxonClient().project.delete_project(user, project_name)",0.0
5590,"return self.serialize_value_list(elem, op.args)",0.0
5591,"async = lbview.apply(cluster, *(data, noreverse, nthreads))",1.0
5592,Time to generate a new output record?,1.0
5593,"If this is True, the function will raise an Exception if something goes",1.0
5594,a \alpha = \sum_i \sum_j z_i z_j {(a\alpha)}_{ij},1.0
5595,Parameters,1.0
5596,def is_inf(self):,0.0
5597,A unicode string error message,1.0
5598,"y : np.ndarray [shape=(n_samples,)]",1.0
5599,"raise ValueError(""argument 'pbclient' must not be None"")",0.0
5600,extended_class = self._classes[extension.containing_type.full_name],0.0
5601,"return_header : bool (optonal, default: ``False``)",1.0
5602,Args:,1.0
5603,"This method receives a (normalized) Batch instance, takes all",1.0
5604,for pos in positions:,0.0
5605,stet_recall_maxind = np.where(stet_recall == np.max(stet_recall)),0.0
5606,"Make sure there's a tags field, or add one",1.0
5607,":param level: logging level: info, warning, verbose...",1.0
5608,"def add_years(d, years_int):",0.0
5609,Sets the maximum number of times the GAIA services will be contacted to,1.0
5610,periodicActivities.append(reportMetrics),0.0
5611,if os.name == 'nt' and NT_ROOT.match(cwd):,0.0
5612,must be the same as the connection that created the,1.0
5613,"field_deg2=1.0,",0.0
5614,"with open(tmp_file, 'w') as f:",0.0
5615,num_hidden: int                 size of fully-connected layers (default: 64),1.0
5616,:return: dict containing fully built out user.,1.0
5617,"If there is a best model, and it is not the same as the current model",1.0
5618,"return OWSNoApplicableCode(""{}"".format(err))",0.0
5619,elen = len(ename) - 1,0.0
5620,"Returns the optimizer arguments including the time, the list of variables to optimize,",1.0
5621,path = normalize_lock_root(path),0.0
5622,B1 = 23.290176*Tr**(-4.2)/T**3,0.0
5623,"units='arcsec',",0.0
5624,2004-01-13 14:41:23    -10      100      'AAPL',1.0
5625,- 1.3G - 5.68 sec,1.0
5626,else:,0.0
5627,"for i in range(0, period_count):",0.0
5628,del self._symbols[addr],0.0
5629,"'mad':np.nan,",0.0
5630,sigclip=30.0):,0.0
5631,Validate the new ports with the flip and associate the new ports,1.0
5632,`None`,1.0
5633,generate the top-level toolchain file:,1.0
5634,raise RuntimeError('Failed to connect to device within timeout period!'),0.0
5635,"n_fmts, n_inputs, n_inputs - n_fmts",0.0
5636,if combinedResults is not None:,0.0
5637,time-series (with non-finite elems removed) will be passed through to,1.0
5638,:returns: A Flask response with JSON data.,1.0
5639,"when the derivative is over the parameters of C₀. Otherwise, we have",1.0
5640,Apply a function to all ``send`` values of a generator,1.0
5641,force when attempting to follow the given joint angles. Defaults to,1.0
5642,"predefined_objects=tensorforce.core.distributions.distributions,",0.0
5643,log.debug('_url called with endpoint: {0} and path: {1}'.format(,0.0
5644,"C = Operators.EXTRACT(apsr, 29, 1)",0.0
5645,"', '.join(missing_stocks[:5].map(str)),",0.0
5646,@param[in] int_step (double): Step differentiation that is used for solving differential equation.,1.0
5647,config.read(keyring_cfg),0.0
5648,"'blsoversample':blsoversample,",0.0
5649,self.logger.debug(',0.0
5650,if type_ is None:,0.0
5651,@type data: string,1.0
5652,reader = geolite2.reader(),0.0
5653,zs = z + stretch_offset,0.0
5654,"Found single quote, check nearby text to eliminate digit separators.",1.0
5655,async def disconnect(self):,0.0
5656,obj.save(),0.0
5657,--logging=debug|info|warning|error|none,1.0
5658,are we required to include,1.0
5659,mosaic = create_mosaic(input_data_tiles),0.0
5660,"for i, r in enumerate(f):",0.0
5661,with redirect_stdout(self.stdout):,0.0
5662,Returns,1.0
5663,>>>     shutil.which('which'),1.0
5664,"qs = super(GalleryAdmin, self).get_queryset(request)",0.0
5665,"The user has to specify the aggregate functions (i.e., :raw,count,sum,avg)",1.0
5666,and N is the unit count.,1.0
5667,"feature_dict = {'objectids':[],'magcol':magcol, 'availablefeatures':[]}",0.0
5668,"field = Field(name, values, field_type, label, options, required, desc, value)",0.0
5669,sys.stdout.write(question + prompt),0.0
5670,============   ==========================,1.0
5671,:param workflow_id: The unique id for the Automation workflow.,1.0
5672,if (self.__ccore_legion_dynamic_pointer is not None):,0.0
5673,"constraints='bool'),",0.0
5674,"match up children with parents, respecting daily orphans.",1.0
5675,"mix : (H,W,3) ndarray",1.0
5676,self.status = '490 cleanser failure but notify success',0.0
5677,"including keeping probabilities of all dropout, denoising, dropconnect etc.",1.0
5678,pipeline.repr_ = repr(pipeline),0.0
5679,if res.weekday is not None and not res.day:,0.0
5680,for elem in set2:,0.0
5681,update: Boolean tensor indicating whether this call happens during an update.,1.0
5682,ax_diff.set_xticks([]),0.0
5683,filtermasks.append(np.logical_not(,0.0
5684,def _parse_csv_header_lcc_csv_v1(headerlines):,0.0
5685,Parse organization name and logo.,1.0
5686,"abspath(filename),",0.0
5687,ifndef = linesplit[1],0.0
5688,Check that deposit has a defined status (default: draft).,1.0
5689,def frame_generation(index_dynamic):,0.0
5690,"When the signal is emitted, the callback is invoked.",1.0
5691,"r2dat.append(""{}\n{}\n{}\n{}"".format(sname, r2, ""+"", ""B""*(len(r2))))",0.0
5692,wts = scl*wts0*np.cosh(pts0*scl)*np.exp(pts0),0.0
5693,"""datasource"": json.dumps(map_data.datasource),",0.0
5694,"objectinfo['ra'],",0.0
5695,"self._ipcluster[""pids""][eid] = pid",0.0
5696,"'format':format,",0.0
5697,except NotImplementedError:,0.0
5698,self.filename = filename,0.0
5699,for line in src:,0.0
5700,"2015, 151005081500002. doi:10.1021/acs.jced.5b00571.",1.0
5701,lens_data : lens_data.LensData or lens_data.LensDataHyper,1.0
5702,characters that have a matching character in both strings plus the,1.0
5703,Load a default value for redshift from config and set it as the redshift for source or lens galaxies that have,1.0
5704,rows = conn.cursor.fetchall(),0.0
5705,Return a value check function which raises a ValueError if the value does,1.0
5706,"""ManagedPolicies"": ...,",1.0
5707,self.imm_back = capabils['imm_back'],0.0
5708,"If we have an actual Image, great - put together the base64 image string",1.0
5709,self.client.stop(),0.0
5710,"""html"": string*",1.0
5711,Affected Flags o..szapc,1.0
5712,"if args.cms_version in ('rc', 'develop'):",0.0
5713,creates a zip file from the drop and encrypts it to the editors.,1.0
5714,"raise ValueError(""the length of delays must equal n_voices"")",0.0
5715,if len(old_list) == 1 and len(new_list) == 1:,0.0
5716,"fvp = U.flatgrad(gvp, var_list)",0.0
5717,"window_visu(64, 'kaiser', beta=8.)",1.0
5718,Temperature of the fluid [K],1.0
5719,Find the earliest character that might indicate a template argument,1.0
5720,parameters,1.0
5721,Modern redirects are allowed. Let's have some fun.,1.0
5722,the number provided as the sigma-multiplier to cut out from the input,1.0
5723,Saves the dump in a file named `path`.,1.0
5724,"elif (isinstance(a, collections.Sequence) and",0.0
5725,"if not set(_sensors).issubset(list(range(0, self._sensor_count))):",0.0
5726,tuple_size_in_bytes=tuple_size_in_bytes),0.0
5727,pos = len(word) - 2,0.0
5728,deserialized or does not contain important app data. Best for returning,1.0
5729,float,1.0
5730,if action == 'update':,0.0
5731,pal = [v if not pd.isnull(v) else na_value for v in pal],0.0
5732,"def bruteforce(users, domain, password, host):",0.0
5733,path = os.getcwd(),0.0
5734,return res,0.0
5735,with self.lock:,0.0
5736,outdict = {,0.0
5737,try:,0.0
5738,"'actual_varamplitude':actual_varamplitude,",0.0
5739,outfd.write(chunk),0.0
5740,if not chemtype:,0.0
5741,otherwise exit with 0 (success) and print the result,1.0
5742,str,1.0
5743,except KeyError:,0.0
5744,nested_types[full_name] = nested_desc,0.0
5745,"filter(lambda x: x, raw_output.decode(errors=""replace"").split(""\n""))",0.0
5746,"def join(self, join_streamlet, window_config, join_function):",0.0
5747,"token_uri=oauth2client.GOOGLE_TOKEN_URI,",0.0
5748,else:,0.0
5749,value = self._searchindex['objects'][cobj['module_short']],0.0
5750,lightcurve_median = np.median(fmags),0.0
5751,"course_run_modes = {seat.get('type') for seat in course_run.get('seats', [])}",0.0
5752,return False,0.0
5753,try:,0.0
5754,"Produce two gametes, an egg and a sperm, from input Gods. Combine",1.0
5755,formula : str,1.0
5756,"with open(handle, 'w') as out:",0.0
5757,if result is unmatched:,0.0
5758,">>> Li_Johns_Ahmadi_solution(zs=[0.5, 0.3, 0.2], Ks=[1.685, 0.742, 0.532])",1.0
5759,:rtype: int,1.0
5760,if typepy.is_null_string(ping_message):,0.0
5761,we don't need this,1.0
5762,Notes,1.0
5763,"ele = (l[i],referer[i])",0.0
5764,new_env_name = temp_env_name,0.0
5765,wait,1.0
5766,+ str(err)),0.0
5767,The init command,1.0
5768,"...                   },",1.0
5769,seq_count = 0,0.0
5770,"Given input dataframe, create feature dataframe of shifted characters",1.0
5771,"Daily returns of the strategy, noncumulative.",1.0
5772,uniq.add(data),0.0
5773,graph.add_increases(,0.0
5774,logging.info('found %s at %s' % (,0.0
5775,while 1:,0.0
5776,"if not os.path.isfile("".shastore""):",0.0
5777,lcdict = pickle.load(infd),0.0
5778,:type       server_id: ``str``,1.0
5779,elif order == -1:,0.0
5780,logger.debug('Graph has less than 20 nodes'),0.0
5781,return data,0.0
5782,"meta.loader, meta, [loader.name for loader in self._loaders]))",0.0
5783,if T <= a7:,0.0
5784,if result != libsbml.LIBSBML_OPERATION_SUCCESS:,0.0
5785,Table look-up translation.,1.0
5786,Retrieves a single volume by ID.,1.0
5787,"order = [OR, AND, BOR, BXOR, BAND, EQS, COMPS, BSHIFTS, ADDS, MULTS]",0.0
5788,os.makedirs(prj_dir),0.0
5789,relative path,1.0
5790,:param types_list: filter by types so the constructor can be used to accomidate many types,1.0
5791,if path_cfg in alias_dict:,0.0
5792,Arguments:,1.0
5793,if ccy: kwargs['Eqy_Fund_Crncy'] = ccy,0.0
5794,LOGERROR('GAIA query did not return a ',0.0
5795,outdir : str,1.0
5796,return,1.0
5797,"write_value('PackageFileName', package.file_name, out)",0.0
5798,"profile=self._profile,",0.0
5799,sortx = ub.argsort(items),0.0
5800,div_id = str(random.random()),0.0
5801,if begining != expression.begining:,0.0
5802,"903.15 K, and under 0.26 mK up to 1337.33 K.",1.0
5803,return likelihoodsDict,0.0
5804,should NOT be given.,1.0
5805,object_handle.Press(),0.0
5806,for catIdx in range(numCategories):,0.0
5807,:param int port: local AMS port as returned by adsPortOpenEx(),1.0
5808,:param rec: a record structure as returned by create_record(),1.0
5809,"'fileglob':fileglob,",0.0
5810,"The default protocol kwarg is None, this will make an automatic choice",1.0
5811,names = tre.get_leaves(),0.0
5812,self.manticore.context[plugin_context_name] = {},0.0
5813,"def report(self, linenumber, filename, severity, message, rulename, char):",0.0
5814,"samples = _get_samples(self, samples)",0.0
5815,return False,0.0
5816,continue,0.0
5817,ret[str(thisField)] = val,0.0
5818,"def prepare_to_run(self, clock, period_count):",0.0
5819,typename = data[:len_typename],0.0
5820,Negative value placeholder indicates None,1.0
5821,----------,1.0
5822,hash_constant = {,0.0
5823,except Exception as e:,0.0
5824,__available = [d.ahioDriverInfo.NAME,0.0
5825,"def do_d(self, line):",0.0
5826,index = realpath(ndx),0.0
5827,return _module_values['backend'],0.0
5828,except Exception:,0.0
5829,db_name = plain_match.groupdict().get('database'),0.0
5830,"stimes, smags, serrs,",0.0
5831,gaia_submit_timeout : float,1.0
5832,except ValueError:,0.0
5833,"self.set_formatter(v2f[verbosity], handlers=handlers)",0.0
5834,"enterprise_customer_uuid, course_run_id, course_key, program_uuid = RouterView.get_path_variables(**kwargs)",0.0
5835,if status is False:,0.0
5836,try:  s2 = self.styles[e.node1.style],0.0
5837,"end = np.where(np.all(maparr[:] == 0, axis=1))[0]",0.0
5838,magcols = dmagcols,0.0
5839,"Delay, if necessary",1.0
5840,The number of parallel workers to launch for MCMC.,1.0
5841,:param tag: The key for the nodes' data dictionaries where the scores will be put. Defaults to 'score',1.0
5842,Parameters,1.0
5843,else:,0.0
5844,deepcopy would slow down cpplint by ~28%.,1.0
5845,if shape.lower() not in shapes:,0.0
5846,List of OPTICS objects in traverse order.,1.0
5847,Args:,1.0
5848,wrap everything in a try statement to ensure that we save the,1.0
5849,"for index in range(0, self._num_osc, 1):",0.0
5850,"x = np.rollaxis(x, channel_index, 0)",0.0
